run iter 0
run iter 2
run iter 4
run iter 6
run iter 8
Good model: 13	Bad model: 10	Draws:177
         121942046 function calls (120868563 primitive calls) in 121.265 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      121    0.001    0.000    0.014    0.000 __init__.py:259(_make_prim)
        2    0.000    0.000    0.014    0.007 serialization.py:1(<module>)
        1    0.003    0.003    0.014    0.014 {built-in method torch._C._initExtension}
      688    0.005    0.000    0.014    0.000 inspect.py:2331(_signature_from_function)
     5270    0.004    0.000    0.013    0.000 __init__.py:3574(generate_legal_ep)
       85    0.003    0.000    0.013    0.000 conflict.py:62(<listcomp>)
    17230    0.005    0.000    0.013    0.000 module.py:2167(children)
     2912    0.002    0.000    0.013    0.000 __init__.py:3587(_attacked_for_king)
       26    0.000    0.000    0.013    0.001 _sources.py:11(get_source_lines_and_file)
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
       20    0.000    0.000    0.013    0.001 _jit_internal.py:875(_overload)
      125    0.000    0.000    0.013    0.000 dataloader.py:622(_next_index)
      149    0.000    0.000    0.013    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.013    0.013 facts.py:94(deduce_alpha_implications)
      125    0.008    0.000    0.013    0.000 sampler.py:241(__iter__)
        1    0.000    0.000    0.013    0.013 __init__.py:159(_load_global_deps)
        2    0.000    0.000    0.013    0.006 platform.py:919(system)
        2    0.000    0.000    0.013    0.006 platform.py:830(uname)
22910/22838    0.008    0.000    0.012    0.000 logic.py:403(__new__)
       26    0.000    0.000    0.012    0.000 inspect.py:1235(getsourcelines)
    60771    0.012    0.000    0.012    0.000 {built-in method builtins.iter}
        1    0.004    0.004    0.012    0.012 facts.py:74(transitive_closure)
     9585    0.011    0.000    0.012    0.000 __init__.py:1749(generate_pseudo_legal_ep)
      230    0.012    0.000    0.012    0.000 {built-in method torch._foreach_add}
       95    0.001    0.000    0.012    0.000 dataclasses.py:528(_init_fn)
      844    0.003    0.000    0.012    0.000 typing.py:1340(__init__)
     2223    0.001    0.000    0.011    0.000 module.py:2059(parameters)
        1    0.000    0.000    0.011    0.011 const_fold.py:1(<module>)
     1465    0.010    0.000    0.011    0.000 _ops.py:239(__init__)
    61193    0.011    0.000    0.011    0.000 {method 'values' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.011    0.006 function.py:1(<module>)
        1    0.000    0.000    0.011    0.011 slice.py:1(<module>)
      778    0.011    0.000    0.011    0.000 {built-in method torch._C._jit_get_operation}
36991/36748    0.009    0.000    0.011    0.000 logic.py:236(__hash__)
  470/325    0.000    0.000    0.011    0.000 typing.py:468(__getitem__)
    12018    0.002    0.000    0.011    0.000 conflict.py:43(edge)
        1    0.000    0.000    0.011    0.011 bsplines.py:1(<module>)
     2223    0.001    0.000    0.011    0.000 module.py:2084(named_parameters)
     2660    0.010    0.000    0.010    0.000 single_chess.py:60(<listcomp>)
        1    0.000    0.000    0.010    0.010 matexpr.py:1(<module>)
        4    0.000    0.000    0.010    0.003 graph.py:1(<module>)
        1    0.000    0.000    0.010    0.010 graph_module.py:1(<module>)
     1411    0.010    0.000    0.010    0.000 {built-in method torch._C.impl}
      230    0.010    0.000    0.010    0.000 {built-in method torch._foreach_add_}
        1    0.000    0.000    0.010    0.010 _pickle.py:1(<module>)
     2223    0.003    0.000    0.010    0.000 module.py:2045(_named_members)
   115745    0.010    0.000    0.010    0.000 __init__.py:1877(is_variant_loss)
     1400    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:169(__enter__)
     7171    0.003    0.000    0.010    0.000 __init__.py:3588(<genexpr>)
        1    0.000    0.000    0.010    0.010 power.py:1(<module>)
      115    0.000    0.000    0.010    0.000 loss.py:535(forward)
        1    0.000    0.000    0.010    0.010 base_events.py:1(<module>)
      115    0.001    0.000    0.009    0.000 functional.py:3267(mse_loss)
      325    0.001    0.000    0.009    0.000 typing.py:645(Union)
      225    0.001    0.000    0.009    0.000 function.py:122(arity)
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
    14583    0.006    0.000    0.009    0.000 conflict.py:7(supercedes)
        2    0.000    0.000    0.009    0.005 overrides.py:1(<module>)
        6    0.000    0.000    0.009    0.002 rnn.py:1(<module>)
    29/24    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    29/24    0.002    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
       26    0.001    0.000    0.009    0.000 inspect.py:1224(getblock)
        1    0.000    0.000    0.009    0.009 _script.py:1(<module>)
        1    0.000    0.000    0.009    0.009 products.py:1(<module>)
